User;Text;Date;Tweet Link;Media Links;Reply To
@S57758Wong;Tdk hanya menguap tp akan hilang semua, direzim ini semua bs terjd. Asuransi yg dr dl dikelola pemerintah aman2 sj kalau skrng bs hilang uang nasabahnya seperti yg sy alami. OJK dan bumiputera menjanjikan uang akan kembali dgn pot. yg besar jg. Tp sdh 4 th tdk ada jg wujudnya.;2024-05-29T23:38:51.000Z;https://x.com/S57758Wong/status/1795963042838044706;[];@eMbahNyutz
@inanda_jes61331;Pinjaman Akulaku Gratis Biaya Provisi! Pinjam hingga 3jt dan tenor 3 bulan! Berizin dan diawasi oleh OJK. https://s.akulaku.com/crbCt3;2024-05-29T23:16:56.000Z;https://x.com/inanda_jes61331/status/1795957527563084113;['https://pbs.twimg.com/media/GOyF2ijagAA2F86?format=jpg&name=small'];
@flowerpedi23790;Hati-hati, Begini Modus Baru Penipuan Salah Transfer Pinjol Ilegal hingga Tawaran Pekerjaan: Otoritas Jasa Keuangan (OJK) membeberkan, modus penipuan di sektor keuangan. Salah satunya yang dilakukan pinjol ilegal dengan modus salah transfer. http://dlvr.it/T7ZTrg;2024-05-29T22:15:35.000Z;https://x.com/flowerpedi23790/status/1795942089697775810;['https://pbs.twimg.com/media/GOx30EqaoAA7vgl?format=jpg&name=small'];
@DontLieToBeCol;OJK BUT IT WAS FUNNY;2024-05-29T21:22:44.000Z;https://x.com/DontLieToBeCol/status/1795928787399434533;[];@DontLieToBeCol
@yoii982;awm lek kakean arak mending ojk ngomong;2024-05-29T21:07:23.000Z;https://x.com/yoii982/status/1795924926333071691;[];
@sthalimahlukman;Bisa cek di Slik OJK juga, kak.;2024-05-29T19:48:40.000Z;https://x.com/sthalimahlukman/status/1795905117465534513;[];@ihvjjktch
@medcom_id;Otoritas Jasa Keuangan (OJK) melalui Survei Orientasi Bisnis Perbankan triwulan II-2024 mencatat bahwa industri real estat dan properti di Indonesia diyakini bakal tumbuh positif pada 2024. #Ekonomi #Properti #MedcomId;2024-05-29T19:00:01.000Z;https://x.com/medcom_id/status/1795892870458782054;[];
@jauharalfarez;Ojk lali menyapa @nandizhaa sebelum tidur rel;2024-05-29T17:27:58.000Z;https://x.com/jauharalfarez/status/1795869707825983853;[];@margasukresno
@Cyberayaa;aku jugaa denger katanya udah diawasi ojk nanti aku juga sambil nyari nyari inpoo;2024-05-29T17:24:35.000Z;https://x.com/Cyberayaa/status/1795868856717816252;[];@serfval
@serfval;imyahh, ini aku masih ga paham si ini konsep bank nya begimana, apakah ini worth it atau tidak, tapi diawasi ojk, kayanya?;2024-05-29T17:20:51.000Z;https://x.com/serfval/status/1795867917038576095;[];@Cyberayaa
