User;Text;Date;Label;Cleaned_Text
@iniagustinn;"UDAAHHH : ""Ayo ayooo bangun, ruang tamu belom di beresin inilooo. bangunn bangunnnn."" : ""Akhhh yaAllahh ngantukk."" (sambil mulet, trus duduk) : ""MAKANE TA LAK TURU OJK DALU DALU"" (makanya kalo tidur jgn larut malam) :";2024-04-09 23:34:31+00:00;netral;udaahhh ayo ayooo bangun ruang tamu belom beresin inilooo bangunn bangunnnn akhhh yaallahh ngantukk mulet trus duduk makane ta lak turu ojk dalu dalu kalo tidur jgn larut malam
@BeginiCeritany1;Dah macam rentenir yg lolos pengawasan ojk ...;2024-04-09 23:27:12+00:00;netral;dah rentenir yg lolo pengawasan ojk
@bukanhadee;tanyain balik “kenapa bandung?”;2024-04-09 23:18:03+00:00;netral;tanyain bandung
@ojkindonesia;Kembali Fitri di Hari Kemenangan Sobat OJK, Bulan Ramadan telah berlalu saatnya sambut hari kemenangan dengan penuh suka cita. Sucikan Hati, Rajut Silaturahmi. Kembali Fitri di Hari Kemenangan. Selamat Idul Fitri 1445 H Minal aidin wal faizin, mohon maaf lahir batin;2024-04-09 23:07:26+00:00;netral;fitri kemenangan sobat ojk ramadan sambut kemenangan penuh suka cita sucikan hati rajut silaturahmi fitri kemenangan selamat idul fitri h minal aidin wal faizin mohon maaf lahir batin
@bukanhadee;mending koe bagi;2024-04-09 18:51:12+00:00;netral;mending koe
@redaksimata;OJK Sulselbar: Stabilisasi Sektor Jasa Keuangan tetap Terjaga;2024-04-09 18:49:38+00:00;netral;ojk sulselbar stabilisasi sektor jasa keuangan terjaga
@13tylr;Dana gak diawasi ojk;2024-04-09 18:37:43+00:00;netral;dana gak diawasi ojk
@SammiSoh;Apa nama dari perusahaan mutual fund Prudential? Tdk pernah tahu dan nasabah hanya di-info laba/rugi tanpa ada laporan portfolio. OJK begitu tolol biarkan pelanggaran begini terjadi di IDX. Sdh lama IDX jadi tempat gorengan para serigala stock asing Makanya nasabah selalu top-up;2024-04-09 18:22:07+00:00;netral;nama perusahaan mutual fund prudential tdk nasabah diinfo labarugi laporan portfolio ojk tolol biarkan pelanggaran idx sdh idx gorengan serigala stock asing nasabah topup
@mhmmd_jati;Risiko di OJK gede lho kalo perusahaan asuransi ga cairin klaim tanpa dasar hukum dan dasar argumentasi yang adekuat.;2024-04-09 18:16:41+00:00;netral;risiko ojk gede lho kalo perusahaan asuransi ga cairin klaim dasar hukum dasar argumentasi adekuat
@blazingblue_;Sebenernya yg model begini atas pengawasan siapa sih? jgn ampe di ngakakin OJK lo pada;2024-04-09 18:03:34+00:00;netral;sebenernya yg model pengawasan sih jgn ampe ngakakin ojk lo
@Alfaro36629863;Sudah pasti masuk. Tapi nyicil ke penyedia yang terdaftar ojk;2024-04-09 18:01:57+00:00;netral;masuk nyicil penyedia terdaftar ojk
@Mfthrrzkk;generasi paling chaos, generasi yang sekolah pake kurikulum asuharto wkwkwkk;2024-04-09 17:52:51+00:00;netral;generasi chaos generasi sekolah pake kurikulum asuharto wkwkwkk
@Mfthrrzkk;akulah abang itu wkwkk meski hah hoh hah hoh, tapi dalam waktu 2 menit bisa nyusul bapak;2024-04-09 17:41:47+00:00;netral;abang wkwkk hah hoh hah hoh menit nyusul
@washedmauve;ojk sampe awmu jd salah satu penyebab hamster mati konyol...;2024-04-09 16:18:35+00:00;negatif;ojk sampe awmu jd salah penyebab hamster mati konyol
@kratinkdanke;ojk kek tempeek;2024-04-09 15:18:42+00:00;netral;ojk kek tempeek
@Pengendiemaja;Lihat JULO dari iklan, ternyata proses pengajuannya sangat mudah dan praktis. Sudah coba 3 kali tarik dana untuk modal usaha dan semuanya memuaskan. Thanks Julo Pinjaman Uang Online yang OJK dan Terpercaaya link download cepet ACC: https://julo.onelink.me/1mYI/Referral;2024-04-09 15:00:01+00:00;positif;lihat julo iklan prose pengajuannya mudah praktis coba kali tarik dana modal usaha memuaskan thanks julo pinjaman uang online ojk terpercaaya link download cepet acc
@AstonIlman;Oh ws sogeh a? Ojk lali adate;2024-04-09 13:36:55+00:00;netral;oh w sogeh a ojk lali adate
@SoulOfZundanese;Halo OJK;2024-04-09 13:21:32+00:00;netral;halo ojk
@KabarMakassarr;OJK Catat Total Aset Perbankan di Sulsel Capai Rp190 Triliun;2024-04-09 13:06:41+00:00;netral;ojk catat total aset perbankan sulsel capai rp triliun
