User;Text;Date;Label
@iniagustinn;"UDAAHHH : ""Ayo ayooo bangun, ruang tamu belom di beresin inilooo. bangunn bangunnnn."" : ""Akhhh yaAllahh ngantukk."" (sambil mulet, trus duduk) : ""MAKANE TA LAK TURU OJK DALU DALU"" (makanya kalo tidur jgn larut malam) :";2024-04-09 23:34:31+00:00;netral
@BeginiCeritany1;Dah macam rentenir yg lolos pengawasan ojk ...;2024-04-09 23:27:12+00:00;netral
@bukanhadee;tanyain balik “kenapa bandung?”;2024-04-09 23:18:03+00:00;netral
@ojkindonesia;Kembali Fitri di Hari Kemenangan Sobat OJK, Bulan Ramadan telah berlalu saatnya sambut hari kemenangan dengan penuh suka cita. Sucikan Hati, Rajut Silaturahmi. Kembali Fitri di Hari Kemenangan. Selamat Idul Fitri 1445 H Minal aidin wal faizin, mohon maaf lahir batin;2024-04-09 23:07:26+00:00;netral
@bukanhadee;mending koe bagi;2024-04-09 18:51:12+00:00;netral
@redaksimata;OJK Sulselbar: Stabilisasi Sektor Jasa Keuangan tetap Terjaga;2024-04-09 18:49:38+00:00;netral
@13tylr;Dana gak diawasi ojk;2024-04-09 18:37:43+00:00;netral
@SammiSoh;Apa nama dari perusahaan mutual fund Prudential? Tdk pernah tahu dan nasabah hanya di-info laba/rugi tanpa ada laporan portfolio. OJK begitu tolol biarkan pelanggaran begini terjadi di IDX. Sdh lama IDX jadi tempat gorengan para serigala stock asing Makanya nasabah selalu top-up;2024-04-09 18:22:07+00:00;netral
@mhmmd_jati;Risiko di OJK gede lho kalo perusahaan asuransi ga cairin klaim tanpa dasar hukum dan dasar argumentasi yang adekuat.;2024-04-09 18:16:41+00:00;netral
@blazingblue_;Sebenernya yg model begini atas pengawasan siapa sih? jgn ampe di ngakakin OJK lo pada;2024-04-09 18:03:34+00:00;netral
@Alfaro36629863;Sudah pasti masuk. Tapi nyicil ke penyedia yang terdaftar ojk;2024-04-09 18:01:57+00:00;netral
@Mfthrrzkk;generasi paling chaos, generasi yang sekolah pake kurikulum asuharto wkwkwkk;2024-04-09 17:52:51+00:00;netral
@Mfthrrzkk;akulah abang itu wkwkk meski hah hoh hah hoh, tapi dalam waktu 2 menit bisa nyusul bapak;2024-04-09 17:41:47+00:00;netral
@washedmauve;ojk sampe awmu jd salah satu penyebab hamster mati konyol...;2024-04-09 16:18:35+00:00;negatif
@kratinkdanke;ojk kek tempeek;2024-04-09 15:18:42+00:00;netral
@Pengendiemaja;Lihat JULO dari iklan, ternyata proses pengajuannya sangat mudah dan praktis. Sudah coba 3 kali tarik dana untuk modal usaha dan semuanya memuaskan. Thanks Julo Pinjaman Uang Online yang OJK dan Terpercaaya link download cepet ACC: https://julo.onelink.me/1mYI/Referral;2024-04-09 15:00:01+00:00;positif
@AstonIlman;Oh ws sogeh a? Ojk lali adate;2024-04-09 13:36:55+00:00;netral
@SoulOfZundanese;Halo OJK;2024-04-09 13:21:32+00:00;netral
@KabarMakassarr;OJK Catat Total Aset Perbankan di Sulsel Capai Rp190 Triliun;2024-04-09 13:06:41+00:00;netral
@bankneocommerce;Tak terasa Idulfitri sudah di depan mata. Semoga ibadah di bulan Ramadan kemarin menghantarkan banyak berkah dan keberuntungan di hari Kemenangan Selamat Idulfitri 1445 H! PT Bank Neo Commerce Tbk berizin & diawasi OJK serta merupakan bank peserta penjaminan LPS;2024-04-09 12:46:34+00:00;netral
@Pengendiemaja;list pinjol legal dari OJK yang terbukti bisa mencairkan dana instan silakan dibaca thread dibawah https://x.com/Pengendiemaja/status/1581849977113874432?s=24…;2024-04-09 11:35:00+00:00;netral
@bukanhadee;Sengkok kodhu andik arteh gebhei engkok kadek sebeluna engkok deddi oreng se andik reggeh ka orang laen.;2024-04-09 11:19:39+00:00;netral
@bukanhadee;Reggheih oreng se bejik ka be'en.;2024-04-09 11:09:40+00:00;netral
@Bisniscom;OJK Bubarkan Dana Pensiun Jasa Tirta II, Begini Nasib Uang Peserta;2024-04-09 11:00:35+00:00;netral
1400+ TESTI | JOKI TOEFL @SCIENTIFICMEAL;yuk yang butuh toefl terima jadi buat cpns, bumn atau keperluan lainnya bisa ke aku ya. terbukti tembus cpns, bumn, ojk dll ONLY 135K terima jadi! lagi ada diskon juga, bisa dm/wa dulu aja biar aku spill info toefl http://wa.me/6282386122101 #zonauang #zonajajan #jokitoefl;2024-04-09 10:49:07+00:00;netral
1400+ TESTI | JOKI TOEFL @SCIENTIFICMEAL;MAU DAFTAR CPNS BUMN & BELUM ADA TOEFL? Yuk order joki toefl di @scientificmeal , sedia toefl dari prediction sampe TOEFL ITP! ONLY 135K TERIMA JADI, sertif legal, bisa req score & pengerjaan satset. Tembus PT KAI, CPNS, BUMN, OJK, dll info toefl #zonauang #zonajajan;2024-04-09 10:48:45+00:00;netral
@myhappys0ul;curiga bgt tahun depan MT BUMN/OJK/LPS atau PCPM BI soalnya aku tahun ini lebaran pun masih masuk kerja.... mentalnya dah terlatih utk selalu dibawah tekanan....;2024-04-09 10:40:27+00:00;netral
@Pengendiemaja;Tanpa NPWP Dan Slip Gaji Cair Hitungan Menit. EasyCash Pinjaman Online yang udah OJK dan Legal. Monggo ini infonya,;2024-04-09 10:40:00+00:00;positif
@IESR;Sobat Essentials! Otoritas Jasa Keuangan (OJK) telah merilis Taksonomi untuk Keuangan Berkelanjutan Indonesia (TKBI) yang memperbarui Taksonomi Hijau Indonesia (#THI). TKBI memberikan #panduan untuk mengklasifikasikan aktivitas ekonomi, membantu dalam menilai apakah suatu;2024-04-09 10:11:14+00:00;netral
@bukanhadee;yg mau kasi thr langsung aja gausah sungkan”;2024-04-09 09:59:15+00:00;netral
@Bisniscom;OJK Sarankan Pakai Asuransi Kecelakaan Diri, Kendaraan dan Rumah Sebelum Mudik;2024-04-09 09:51:10+00:00;netral
@ardysetyo;OJK Sebut Perlu Waktu Untuk Merger Bank Muamalat dan UUS Bank BTN http://dlvr.it/T5GPmT;2024-04-09 09:48:07+00:00;netral
@kredivo;@r_kapau @Partono_ADjem Hi Kredipal. Mohon maaf atas kendala yang dialami. Saat ini Kredivo hanya menjalankan ketentuan yang diterbitkan OJK sebagai regulator, dimana setiap keterlambatan akan dikenakan bunga sebesar 4% dan denda keterlambatan 6% per 1 bulan. #1;2024-04-09 09:33:28+00:00;netral
@Mr_Banzaii;Nah.. coba tuh pejabat2 ojk.. respon dong... btw urusan ajk kresna aja ga kelar2 smpe skrg.. pdhl dah bnyk yg lapor ke ojk.. bijimana urusannya..;2024-04-09 09:32:31+00:00;netral
